01.00.58.715135,PL400,login,
01.01.04.547739,PL400,words ,1,
01.01.05.063428,PL400,words ,1,
01.01.05.110302,PL400,words ,1,
01.01.05.141465,PL400,words ,1,
01.01.05.172806,PL400,words ,1,
01.01.05.219684,PL400,words ,1,
01.01.05.250947,PL400,words ,1,
01.01.05.297827,PL400,words ,1,
01.01.05.329082,PL400,words ,1,
01.01.05.360325,PL400,words ,1,
01.01.05.407200,PL400,words ,1,
01.01.05.438451,PL400,words ,1,
01.01.05.469714,PL400,words ,1,
01.01.05.516593,PL400,words ,1,
01.01.05.547857,PL400,words ,1,
01.01.05.594725,PL400,words ,1,
01.01.05.625825,PL400,words ,1,
01.01.05.657172,PL400,words ,1,
01.01.05.704109,PL400,words ,1,
01.01.05.735377,PL400,words ,1,
01.01.05.766373,PL400,words ,1,
01.01.05.813507,PL400,words ,1,
01.01.05.844751,PL400,words ,1,
01.01.05.891637,PL400,words ,1,
01.01.05.922894,PL400,words ,1,
01.01.05.954124,PL400,words ,1,
01.01.06.001033,PL400,words ,1,
01.01.06.032283,PL400,words ,1,
01.01.06.079144,PL400,words ,1,
01.01.06.110417,PL400,words ,1,
01.01.06.141592,PL400,words ,1,
01.01.06.188553,PL400,words ,1,
01.01.06.219804,PL400,words ,1,
01.01.06.251065,PL400,words ,1,
01.01.06.297934,PL400,words ,1,
01.01.06.329179,PL400,words ,1,
01.01.06.376057,PL400,words ,1,
01.01.06.407091,PL400,words ,1,
01.01.06.438571,PL400,words ,1,
01.01.06.485457,PL400,words ,1,
01.01.06.516710,PL400,words ,1,
01.01.06.547743,PL400,words ,1,
01.01.06.594584,PL400,words ,1,
01.01.06.625840,PL400,words ,1,
01.01.06.672725,PL400,words ,1,
01.01.06.704005,PL400,words ,1,
01.01.06.735226,PL400,words ,1,
01.01.06.782121,PL400,words ,1,
01.01.06.813357,PL400,words ,1,
01.01.06.844610,PL400,words ,1,
01.01.06.891525,PL400,words ,1,
01.01.06.923005,PL400,words ,1,
01.01.06.969872,PL400,words ,1,
01.01.07.001134,PL400,words ,1,
01.01.07.032392,PL400,words ,1,
01.01.07.079275,PL400,words ,1,
01.01.07.110528,PL400,words,1,
01.01.07.157149,PL400,words,1,
01.01.07.188672,PL400,words,1,
01.01.07.219920,PL400,words,1,
01.01.07.266805,PL400,words,1,
01.01.07.298061,PL400,words,1,
01.01.07.329301,PL400,words,1,
01.01.07.385263,PL400,words,1,
01.01.07.416766,PL400,words,1,
01.01.07.448018,PL400,words,1,
01.01.07.479269,PL400,words,1,
01.01.07.526164,PL400,words,1,
01.01.07.557158,PL400,words,1,
01.01.07.588410,PL400,words,1,
01.01.07.635544,PL400,words,1,
01.01.07.666771,PL400,words,1,
01.01.07.713677,PL400,words,1,
01.01.07.744903,PL400,words,1,
01.01.07.776195,PL400,words,1,
01.01.07.823057,PL400,words,1,
01.01.07.854315,PL400,words,1,
01.01.07.901198,PL400,words,1,
01.01.07.932455,PL400,words,1,
01.01.07.963706,PL400,words,1,
01.01.08.010576,PL400,words,1,
01.01.08.041743,PL400,words,1,
01.01.08.073073,PL400,words,1,
01.01.08.119969,PL400,words,1,
01.01.08.151196,PL400,words,1,
01.01.08.198123,PL400,words,1,
01.01.08.229367,PL400,words,1,
01.01.08.260624,PL400,words,1,
01.01.08.307439,PL400,words,1,
01.01.08.338746,PL400,words,1,
01.01.08.369744,PL400,words,1,
01.01.08.416894,PL400,words,1,
01.01.08.448142,PL400,words,1,
01.01.08.495025,PL400,words,1,
01.01.08.526268,PL400,words,1,
01.01.08.557264,PL400,words,1,
01.01.08.605012,PL400,words,1,
01.01.08.633217,PL400,words,1,
01.01.08.680103,PL400,words,1,
01.01.08.711349,PL400,words,1,
01.01.08.742608,PL400,words,1,
01.01.08.789481,PL400,words,1,
01.01.08.820747,PL400,words,1,
01.01.08.867625,PL400,words,1,
01.01.08.898864,PL400,words,1,
01.01.08.930129,PL400,words,1,
01.01.08.977013,PL400,words,1,
01.01.09.008184,PL400,words,1,
01.01.09.039506,PL400,words,1,
01.01.09.086397,PL400,words,1,
01.01.09.117622,PL400,words,1,
01.01.09.164555,PL400,words,1,
01.01.09.195806,PL400,words,1,
01.01.09.227064,PL400,words,1,
01.01.09.273662,PL400,words,1,
01.01.09.305172,PL400,words,1,
01.01.09.336168,PL400,words,1,
01.01.09.383294,PL400,words,1,
01.01.09.414562,PL400,words,1,
01.01.09.461452,PL400,words,1,
01.01.09.492675,PL400,words,1,
01.01.09.523689,PL400,words,1,
01.01.09.570817,PL400,words,1,
01.01.09.602075,PL400,words,1,
01.01.09.648961,PL400,words,1,
01.01.09.680192,PL400,words,1,
01.01.09.711464,PL400,words,1,
01.01.09.758353,PL400,words,1,
01.01.09.789581,PL400,words,1,
01.01.09.820843,PL400,words,1,
01.01.10.135386,PL400,words,2,
01.01.10.666427,PL400,words,2,
01.01.10.697934,PL400,words,2,
01.01.10.728934,PL400,words,2,
01.01.10.776067,PL400,words,2,
01.01.10.807068,PL400,words,2,
01.01.10.854209,PL400,words,2,
01.01.10.885475,PL400,words,2,
01.01.10.916725,PL400,words,2,
01.01.10.963598,PL400,words,2,
01.01.10.994851,PL400,words,2,
01.01.11.041745,PL400,words,2,
01.01.11.072996,PL400,words,2,
01.01.11.104251,PL400,words,2,
01.01.11.151123,PL400,words,2,
01.01.11.182382,PL400,words,2,
01.01.11.213624,PL400,words,2,
01.01.11.260504,PL400,words,2,
01.01.11.291498,PL400,words,2,
01.01.11.338644,PL400,words,2,
01.01.11.369907,PL400,words,2,
01.01.11.401145,PL400,words,2,
01.01.11.448034,PL400,words,2,
01.01.11.479290,PL400,words,2,
01.01.11.510545,PL400,words,2,
01.01.11.557429,PL400,words,2,
01.01.11.588820,PL400,words,2,
01.01.11.635978,PL400,words,2,
01.01.11.667229,PL400,words,2,
01.01.11.698472,PL400,words,2,
01.01.11.745352,PL400,words,2,
01.01.11.776608,PL400,words,2,
01.01.11.807778,PL400,words,2,
01.01.11.854753,PL400,words,2,
01.01.11.885727,PL400,words,2,
01.01.11.932608,PL400,words,2,
01.01.11.963863,PL400,words,2,
01.01.11.995116,PL400,words,2,
01.01.12.041993,PL400,words,2,
01.01.12.073249,PL400,words,2,
01.01.12.104500,PL400,words,2,
01.01.12.151386,PL400,words,2,
01.01.12.182637,PL400,words,2,
01.01.12.229771,PL400,words,2,
01.01.12.261048,PL400,words,2,
01.01.12.292285,PL400,words,2,
01.01.12.339164,PL400,words,2,
01.01.12.370419,PL400,words,2,
01.01.12.401542,PL400,words,2,
01.01.12.448564,PL400,words,2,
01.01.12.479807,PL400,words,2,
01.01.12.526688,PL400,words,2,
01.01.12.557852,PL400,words,2,
01.01.12.589203,PL400,words,2,
01.01.12.636071,PL400,words,2,
01.01.12.667336,PL400,words,2,
01.01.12.714212,PL400,words,2,
01.01.12.745458,PL400,words,2,
01.01.12.776721,PL400,words,2,
01.01.12.823357,PL400,words,2,
01.01.12.854870,PL400,words,2,
01.01.12.894118,PL400,words,2,
01.01.15.175951,PL400,words,2,
01.01.15.707581,PL400,words,2,
01.01.15.738841,PL400,words,2,
01.01.15.770033,PL400,words,2,
01.01.15.816958,PL400,words,2,
01.01.15.848214,PL400,words,2,
01.01.15.895104,PL400,words,2,
01.01.15.926347,PL400,words,2,
01.01.15.957433,PL400,words,2,
01.01.16.004482,PL400,words,2,
01.01.16.035741,PL400,words,2,
01.01.16.066728,PL400,words,2,
01.01.16.113861,PL400,words,2,
01.01.16.145101,PL400,words,2,
01.01.16.191992,PL400,words,2,
01.01.16.222990,PL400,words,2,
01.01.16.254488,PL400,words,2,
01.01.16.301365,PL400,words,2,
01.01.16.332631,PL400,words,2,
01.01.16.363958,PL400,words,2,
01.01.16.411091,PL400,words,2,
01.01.16.442331,PL400,words,2,
01.01.16.489097,PL400,words,2,
01.01.17.410942,PL400,words,2,
01.01.17.942827,PL400,words,2,
01.01.17.973987,PL400,words,2,
01.01.18.005353,PL400,words,2,
01.01.18.052207,PL400,words,2,
01.01.18.083473,PL400,words,2,
01.01.18.130352,PL400,words,2,
01.01.18.161608,PL400,words,2,
01.01.18.199604,PL400,words,2,
01.01.18.230896,PL400,words,2,
01.01.18.278024,PL400,words,2,
01.01.18.309279,PL400,words,2,
01.01.18.340458,PL400,words,2,
01.01.18.387412,PL400,words,2,
01.01.18.418674,PL400,words,2,
01.01.18.449685,PL400,words,2,
01.01.18.496808,PL400,words,2,
01.01.18.528052,PL400,words,2,
01.01.18.575205,PL400,words,2,
01.01.18.606199,PL400,words,2,
01.01.18.637703,PL400,words,2,
01.01.18.684910,PL400,words,2,
01.01.18.716177,PL400,words,2,
01.01.18.747154,PL400,words,2,
01.01.18.794280,PL400,words,2,
01.01.18.825545,PL400,words,2,
01.01.18.872171,PL400,words,2,
01.01.18.903676,PL400,words,2,
01.01.18.934920,PL400,words,2,
01.01.18.981829,PL400,words,2,
01.01.19.013081,PL400,words,2,
01.01.19.059951,PL400,words,2,
01.01.19.091206,PL400,words,2,
01.01.19.122194,PL400,words,2,
01.01.19.169339,PL400,words,2,
01.01.19.200601,PL400,words,2,
