10.59.01.172283,PL300,login,
11.00.03.775171,PL300,words ,1,
11.00.04.491950,PL300,words ,1,
11.00.06.366904,PL300,words ,2,
11.00.08.040093,PL300,words ,1,
11.00.10.289059,PL300,words ,1,
11.00.11.684106,PL300,words ,2,
11.00.13.040436,PL300,words ,2,
11.00.31.402979,PL300,words ,2,
11.00.36.631851,PL300,words ,1,
11.00.38.462578,PL300,words ,1,
11.00.40.309109,PL300,words ,2,
11.00.41.852367,PL300,words ,1,
11.00.44.435243,PL300,words ,1,
11.00.46.244598,PL300,words ,2,
11.00.47.039686,PL300,words ,2,
11.00.47.933312,PL300,words ,2,
11.00.50.527479,PL300,words ,1,
11.00.51.934981,PL300,words ,2,
11.00.53.540587,PL300,words ,1,
11.00.55.214123,PL300,words ,1,
11.00.57.073710,PL300,words ,2,
11.00.58.398630,PL300,words ,1,
11.01.01.165019,PL300,words ,1,
11.01.02.622888,PL300,words ,1,
11.01.04.090461,PL300,words ,2,
11.01.05.401032,PL300,words ,1,
11.01.06.868511,PL300,words ,2,
11.01.37.353038,PL300,words ,1,
11.01.38.871155,PL300,words ,2,
11.01.39.790364,PL300,words ,2,
11.01.40.652008,PL300,words ,2,
11.01.41.415195,PL300,words ,2,
11.01.42.624269,PL300,words ,1,
11.01.43.882721,PL300,words ,1,
11.01.45.166485,PL300,words ,2,
11.01.46.166532,PL300,words ,1,
11.01.48.399475,PL300,words ,1,
11.01.49.446018,PL300,words ,2,
11.01.50.603948,PL300,words ,2,
11.01.51.445001,PL300,words ,2,
11.01.52.467484,PL300,words ,1,
11.01.53.404532,PL300,words ,2,
11.01.54.841457,PL300,words ,1,
11.01.56.368151,PL300,words ,1,
11.01.57.915562,PL300,words ,2,
11.01.58.806093,PL300,words ,1,
11.01.59.759824,PL300,words ,1,
11.02.01.374459,PL300,words ,1,
11.02.02.248783,PL300,words ,2,
11.02.04.241102,PL300,words ,1,
11.02.05.247758,PL300,words ,2,
11.02.06.340958,PL300,words ,1,
11.02.07.965468,PL300,words ,2,
11.02.09.307545,PL300,words ,2,
11.02.10.962947,PL300,words ,2,
11.02.11.759064,PL300,words ,2,
11.02.12.654447,PL300,words,2,
11.02.13.777431,PL300,words,1,
11.02.14.529953,PL300,words,1,
11.02.16.869467,PL300,words,2,
11.02.17.945613,PL300,words,2,
11.02.18.914862,PL300,words,1,
11.02.19.964656,PL300,words,1,
11.02.20.871064,PL300,words,2,
11.02.23.404044,PL300,words,2,
11.02.24.539062,PL300,words,1,
11.02.25.618933,PL300,words,1,
11.02.26.970806,PL300,words,2,
11.02.27.966109,PL300,words,2,
11.02.29.227573,PL300,words,1,
11.02.30.304947,PL300,words,1,
11.02.31.788905,PL300,words,2,
11.02.33.069311,PL300,words,1,
11.02.34.150185,PL300,words,1,
11.02.35.122771,PL300,words,2,
11.02.36.087336,PL300,words,1,
11.02.37.310594,PL300,words,2,
11.02.38.555906,PL300,words,2,
11.02.39.384111,PL300,words,1,
11.02.40.634433,PL300,words,1,
11.02.41.414507,PL300,words,2,
11.02.42.651810,PL300,words,2,
11.02.43.589289,PL300,words,2,
11.02.44.685206,PL300,words,2,
11.02.45.961599,PL300,words,1,
11.02.47.320505,PL300,words,1,
11.02.48.369293,PL300,words,1,
11.02.49.309794,PL300,words,2,
11.02.50.914060,PL300,words,2,
11.02.52.335842,PL300,words,1,
11.02.53.590438,PL300,words,1,
11.02.56.384416,PL300,words,2,
11.02.57.277790,PL300,words,2,
11.02.58.288478,PL300,words,1,
11.02.59.462600,PL300,words,1,
11.03.00.571549,PL300,words,2,
11.03.01.745741,PL300,words,1,
11.03.02.779551,PL300,words,1,
11.03.03.650868,PL300,words,2,
11.03.05.463689,PL300,words,1,
11.03.06.527518,PL300,words,2,
11.03.09.118407,PL300,words,2,
11.03.09.996743,PL300,words,1,
11.03.11.383431,PL300,words,1,
11.03.12.289841,PL300,words,2,
11.03.13.277468,PL300,words,2,
11.03.14.028463,PL300,words,2,
11.03.18.055172,PL300,words,2,
11.03.19.134040,PL300,words,1,
11.03.20.401412,PL300,words,1,
11.03.21.726937,PL300,words,1,
11.03.22.871980,PL300,words,2,
11.03.23.930796,PL300,words,1,
11.03.24.696833,PL300,words,1,
11.03.25.712542,PL300,words,2,
11.03.27.010286,PL300,words,1,
11.03.27.853529,PL300,words,1,
11.03.29.165014,PL300,words,2,
11.03.30.195897,PL300,words,2,
11.03.30.915812,PL300,words,1,
11.03.32.181176,PL300,words,1,
11.03.33.571876,PL300,words,1,
11.03.34.555491,PL300,words,2,
11.03.36.010391,PL300,words,1,
11.03.36.931809,PL300,words,2,
11.03.38.351668,PL300,words,2,
11.03.39.477662,PL300,words,2,
11.03.41.633473,PL300,words,1,
11.03.43.210666,PL300,words,2,
11.03.44.227369,PL300,words,2,
11.03.46.213661,PL300,words,1,
11.03.47.446930,PL300,words,1,
11.03.48.413500,PL300,words,1,
11.03.49.369043,PL300,words,2,
11.03.50.307538,PL300,words,2,
11.03.51.945901,PL300,words,2,
11.03.52.836350,PL300,words,2,
11.03.53.930262,PL300,words,1,
11.03.55.025189,PL300,words,2,
11.03.56.134143,PL300,words,1,
11.03.57.464686,PL300,words,1,
11.03.58.992739,PL300,words,2,
11.04.00.054566,PL300,words,2,
11.04.01.026146,PL300,words,2,
11.04.02.775799,PL300,words,1,
11.04.04.655901,PL300,words,1,
11.04.05.931289,PL300,words,2,
11.04.08.289563,PL300,words,1,
11.04.09.714346,PL300,words,2,
11.04.10.695954,PL300,words,2,
11.04.12.435581,PL300,words,1,
11.04.13.684905,PL300,words,2,
11.04.15.321256,PL300,words,2,
11.04.16.820242,PL300,words,2,
11.04.21.571878,PL300,words,1,
11.04.22.631696,PL300,words,2,
11.04.24.618979,PL300,words,1,
11.04.25.466231,PL300,words,2,
11.04.26.602253,PL300,words,2,
11.04.27.320161,PL300,words,1,
11.04.27.681121,PL300,words,2,
11.04.28.303778,PL300,words,2,
11.04.28.746958,PL300,words,1,
11.04.29.121979,PL300,words,1,
11.04.29.625291,PL300,words,2,
11.04.30.070476,PL300,words,2,
11.04.30.717197,PL300,words,1,
11.04.31.256629,PL300,words,2,
11.04.31.807094,PL300,words,1,
11.04.32.290379,PL300,words,2,
11.04.32.713560,PL300,words,1,
11.04.33.164787,PL300,words,2,
11.04.33.696275,PL300,words,1,
11.04.34.185568,PL300,words,2,
11.04.34.633758,PL300,words,1,
11.04.35.060957,PL300,words,2,
11.04.35.789895,PL300,words,1,
11.04.36.248114,PL300,words,2,
11.04.37.149510,PL300,words,1,
11.04.37.591694,PL300,words,2,
11.04.38.181288,PL300,words,1,
11.04.38.634494,PL300,words,2,
11.04.39.195986,PL300,words,2,
11.04.39.715370,PL300,words,1,
11.04.40.320072,PL300,words,2,
11.04.40.743233,PL300,words,1,
11.04.41.134250,PL300,words,2,
11.04.41.528299,PL300,words,1,
11.04.41.903305,PL300,words,2,
11.04.42.289321,PL300,words,1,
11.04.42.633235,PL300,words,2,
11.04.42.979156,PL300,words,1,
11.04.43.288981,PL300,words,2,
11.04.43.695059,PL300,words,1,
11.04.43.979816,PL300,words,2,
11.04.44.275605,PL300,words,1,
11.04.44.434025,PL300,words,2,
11.04.44.742871,PL300,words,1,
11.04.45.039646,PL300,words,2,
11.04.45.278269,PL300,words,1,
11.04.45.524926,PL300,words,2,
11.04.45.935051,PL300,words,1,
11.04.46.197733,PL300,words,2,
11.04.46.555676,PL300,words,1,
11.04.46.899591,PL300,words,2,
11.04.47.307676,PL300,words,1,
11.04.47.586417,PL300,words,2,
11.04.47.961414,PL300,words,1,
11.04.48.244185,PL300,words,2,
11.04.48.649243,PL300,words,1,
11.04.49.008242,PL300,words,2,
11.04.49.446363,PL300,words,1,
11.04.49.805319,PL300,words,2,
11.04.50.212400,PL300,words,2,
11.04.50.665605,PL300,words,1,
11.04.50.992517,PL300,words,2,
11.04.51.352473,PL300,words,1,
11.04.51.539974,PL300,words,2,
11.04.51.913968,PL300,words,1,
11.04.52.210756,PL300,words,2,
11.04.52.508564,PL300,words,1,
11.04.52.789294,PL300,words,2,
11.04.53.056005,PL300,words,1,
11.04.53.398915,PL300,words,2,
11.04.53.696709,PL300,words,1,
11.04.54.071705,PL300,words,2,
11.04.54.368494,PL300,words,1,
11.04.54.636205,PL300,words,2,
11.04.54.947034,PL300,words,1,
