11.23.25.536413,PL31,login,
11.23.36.730916,PL31,words ,1,
11.23.37.252462,PL31,words ,1,
11.23.37.299336,PL31,words ,1,
11.23.37.330596,PL31,words ,1,
11.23.37.361601,PL31,words ,1,
11.23.37.408737,PL31,words ,1,
11.23.37.439981,PL31,words ,1,
11.23.37.486853,PL31,words ,1,
11.23.37.518114,PL31,words ,1,
11.23.37.549261,PL31,words ,1,
11.23.37.603771,PL31,words ,1,
11.23.37.635275,PL31,words ,1,
11.23.37.666441,PL31,words ,1,
11.23.37.715447,PL31,words ,1,
11.23.37.746948,PL31,words ,1,
11.23.37.778184,PL31,words ,1,
11.23.37.809437,PL31,words ,1,
11.23.37.856366,PL31,words ,1,
11.23.37.887589,PL31,words ,1,
11.23.37.934450,PL31,words ,1,
11.23.37.965478,PL31,words ,1,
11.23.37.996976,PL31,words ,1,
11.23.38.043855,PL31,words ,1,
11.23.38.075108,PL31,words ,1,
11.23.38.106362,PL31,words ,1,
11.23.38.153238,PL31,words ,1,
11.23.38.184513,PL31,words ,1,
11.23.38.231412,PL31,words ,1,
11.23.38.262611,PL31,words ,1,
11.23.38.293882,PL31,words ,1,
11.23.38.340549,PL31,words ,1,
11.23.38.372023,PL31,words ,1,
11.23.38.403032,PL31,words ,1,
11.23.38.449920,PL31,words ,1,
11.23.38.481421,PL31,words ,1,
11.23.38.528278,PL31,words ,1,
11.23.38.559516,PL31,words ,1,
11.23.38.590779,PL31,words ,1,
11.23.38.637670,PL31,words ,1,
11.23.38.668674,PL31,words ,1,
11.23.38.699929,PL31,words ,1,
11.23.38.747049,PL31,words ,1,
11.23.38.778295,PL31,words ,1,
11.23.38.825163,PL31,words ,1,
11.23.38.856442,PL31,words ,1,
11.23.38.887694,PL31,words ,1,
11.23.38.934555,PL31,words ,1,
11.23.38.965718,PL31,words ,1,
11.23.39.012708,PL31,words ,1,
11.23.39.043960,PL31,words ,1,
11.23.39.075214,PL31,words ,1,
11.23.39.122124,PL31,words ,1,
11.23.39.153332,PL31,words ,1,
11.23.39.184604,PL31,words ,1,
11.23.39.231488,PL31,words ,1,
11.23.39.262487,PL31,words ,1,
11.23.39.309633,PL31,words,1,
11.23.39.340630,PL31,words,1,
11.23.39.372103,PL31,words,1,
11.23.39.419024,PL31,words,1,
11.23.39.450008,PL31,words,1,
11.23.39.481282,PL31,words,1,
11.23.39.528387,PL31,words,1,
11.23.39.559630,PL31,words,1,
11.23.39.606521,PL31,words,1,
11.23.39.637774,PL31,words,1,
11.23.39.669035,PL31,words,1,
11.23.39.715918,PL31,words,1,
11.23.39.746948,PL31,words,1,
11.23.39.794045,PL31,words,1,
11.23.39.825319,PL31,words,1,
11.23.39.856546,PL31,words,1,
11.23.39.903426,PL31,words,1,
11.23.39.934683,PL31,words,1,
11.23.39.965844,PL31,words,1,
11.23.40.012814,PL31,words,1,
11.23.40.044050,PL31,words,1,
11.23.40.090946,PL31,words,1,
11.23.40.122203,PL31,words,1,
11.23.40.153453,PL31,words,1,
11.23.40.200331,PL31,words,1,
11.23.40.231375,PL31,words,1,
11.23.40.262857,PL31,words,1,
11.23.40.309729,PL31,words,1,
11.23.40.340972,PL31,words,1,
11.23.40.387835,PL31,words,1,
11.23.40.418885,PL31,words,1,
11.23.40.450379,PL31,words,1,
11.23.40.497239,PL31,words,1,
11.23.40.528495,PL31,words,1,
11.23.40.559511,PL31,words,1,
11.23.40.606608,PL31,words,1,
11.23.40.637880,PL31,words,1,
11.23.40.684765,PL31,words,1,
11.23.40.716080,PL31,words,1,
11.23.40.747583,PL31,words,1,
11.23.40.794464,PL31,words,1,
11.23.40.825718,PL31,words,1,
11.23.40.872617,PL31,words,1,
11.23.40.903877,PL31,words,1,
11.23.40.935124,PL31,words,1,
11.23.40.981735,PL31,words,1,
11.23.41.013238,PL31,words,1,
11.23.41.044279,PL31,words,1,
11.23.41.091370,PL31,words,1,
11.23.41.763338,PL31,words,1,
11.23.42.294618,PL31,words,1,
11.23.42.325877,PL31,words,1,
11.23.42.357127,PL31,words,1,
11.23.42.403761,PL31,words,1,
11.23.42.435245,PL31,words,1,
11.23.42.466515,PL31,words,1,
11.23.42.513397,PL31,words,1,
11.23.42.544648,PL31,words,1,
11.23.42.591314,PL31,words,1,
11.23.42.622765,PL31,words,1,
11.23.42.654020,PL31,words,1,
11.23.42.700930,PL31,words,1,
11.23.42.732418,PL31,words,1,
11.23.42.763757,PL31,words,1,
11.23.42.810599,PL31,words,1,
11.23.42.841863,PL31,words,1,
11.23.42.888762,PL31,words,1,
11.23.42.920018,PL31,words,1,
11.23.42.951260,PL31,words,1,
11.23.42.997890,PL31,words,1,
11.23.43.029373,PL31,words,1,
11.23.43.060429,PL31,words,1,
11.23.43.107533,PL31,words,1,
11.23.43.138779,PL31,words,1,
11.23.43.185657,PL31,words,1,
11.23.43.216893,PL31,words,1,
11.23.43.247916,PL31,words,1,
11.23.43.295044,PL31,words,1,
11.23.43.326298,PL31,words,1,
11.23.43.357346,PL31,words,1,
11.23.43.404412,PL31,words,1,
11.23.43.435667,PL31,words,1,
11.23.43.482583,PL31,words,1,
11.23.43.513800,PL31,words,1,
11.23.43.545092,PL31,words,1,
11.23.43.591950,PL31,words,1,
11.23.43.623212,PL31,words,1,
11.23.43.670109,PL31,words,1,
11.23.43.701318,PL31,words,1,
11.23.43.732497,PL31,words,1,
11.23.43.779469,PL31,words,1,
11.23.43.810707,PL31,words,1,
11.23.43.841970,PL31,words,1,
11.23.43.888869,PL31,words,1,
11.23.43.920115,PL31,words,1,
11.23.43.966990,PL31,words,1,
11.23.43.998008,PL31,words,1,
11.23.44.029484,PL31,words,1,
11.23.44.076377,PL31,words,1,
11.23.44.107630,PL31,words,1,
11.23.44.138637,PL31,words,1,
11.23.44.185766,PL31,words,1,
11.23.44.216993,PL31,words,1,
11.23.44.263897,PL31,words,1,
11.23.44.295171,PL31,words,1,
11.23.44.326403,PL31,words,1,
11.23.44.373286,PL31,words,1,
11.23.44.404536,PL31,words,1,
11.23.44.451398,PL31,words,1,
11.23.44.482456,PL31,words,1,
11.23.44.513914,PL31,words,1,
11.23.44.560818,PL31,words,1,
11.23.44.592038,PL31,words,1,
11.23.44.623309,PL31,words,1,
11.23.44.670190,PL31,words,1,
11.23.44.701444,PL31,words,1,
11.23.44.748342,PL31,words,1,
11.23.44.779594,PL31,words,1,
11.23.44.810830,PL31,words,1,
11.23.44.857708,PL31,words,1,
11.23.44.888943,PL31,words,1,
11.23.44.919980,PL31,words,1,
11.23.44.967108,PL31,words,1,
11.23.44.998102,PL31,words,1,
11.23.45.045229,PL31,words,1,
11.23.45.076482,PL31,words,1,
11.23.45.107740,PL31,words,1,
11.23.45.154616,PL31,words,1,
11.23.45.185889,PL31,words,1,
