11.24.35.250681,PL200,login,
11.24.42.982446,PL200,words ,1,
11.24.43.232681,PL200,words ,1,
11.24.43.435825,PL200,words ,1,
11.24.43.958611,PL200,words ,1,
11.24.44.005491,PL200,words ,1,
11.24.44.036745,PL200,words ,1,
11.24.44.068009,PL200,words ,1,
11.24.44.114875,PL200,words ,1,
11.24.44.146113,PL200,words ,1,
11.24.44.177139,PL200,words ,1,
11.24.44.224271,PL200,words ,1,
11.24.44.255518,PL200,words ,1,
11.24.44.302419,PL200,words ,1,
11.24.44.333646,PL200,words ,1,
11.24.44.364895,PL200,words ,1,
11.24.44.411539,PL200,words ,1,
11.24.44.443050,PL200,words ,1,
11.24.44.474045,PL200,words ,1,
11.24.44.521158,PL200,words ,1,
11.24.44.552419,PL200,words ,1,
11.24.44.599282,PL200,words ,1,
11.24.44.630553,PL200,words ,1,
11.24.44.661580,PL200,words ,1,
11.24.44.708691,PL200,words ,1,
11.24.44.739942,PL200,words ,1,
11.24.44.786824,PL200,words ,1,
11.24.44.818077,PL200,words ,1,
11.24.44.849332,PL200,words ,1,
11.24.44.896226,PL200,words ,1,
11.24.44.927374,PL200,words ,1,
11.24.44.958887,PL200,words ,1,
11.24.45.005754,PL200,words ,1,
11.24.45.036991,PL200,words ,1,
11.24.45.083887,PL200,words ,1,
11.24.45.115133,PL200,words ,1,
11.24.45.146381,PL200,words ,1,
11.24.45.193310,PL200,words ,1,
11.24.45.224511,PL200,words ,1,
11.24.45.255574,PL200,words ,1,
11.24.45.302679,PL200,words ,1,
11.24.45.333922,PL200,words ,1,
11.24.45.380795,PL200,words ,1,
11.24.45.411840,PL200,words ,1,
11.24.45.443283,PL200,words ,1,
11.24.45.490181,PL200,words ,1,
11.24.45.521440,PL200,words ,1,
11.24.45.568287,PL200,words ,1,
11.24.45.599578,PL200,words ,1,
11.24.45.630821,PL200,words ,1,
11.24.45.677613,PL200,words ,1,
11.24.45.708961,PL200,words ,1,
11.24.45.740229,PL200,words ,1,
11.24.45.787089,PL200,words ,1,
11.24.45.818332,PL200,words ,1,
11.24.45.865219,PL200,words ,1,
11.24.45.896455,PL200,words ,1,
11.24.45.927482,PL200,words,1,
11.24.45.974620,PL200,words,1,
11.24.46.005876,PL200,words,1,
11.24.46.054937,PL200,words,1,
11.24.46.079180,PL200,words,1,
11.24.46.110160,PL200,words,1,
11.24.46.157302,PL200,words,1,
11.24.46.188557,PL200,words,1,
11.24.46.235454,PL200,words,1,
11.24.46.266700,PL200,words,1,
11.24.46.297942,PL200,words,1,
11.24.46.344604,PL200,words,1,
11.24.46.376057,PL200,words,1,
11.24.46.422936,PL200,words,1,
11.24.46.454192,PL200,words,1,
11.24.46.485455,PL200,words,1,
11.24.46.532333,PL200,words,1,
11.24.46.563378,PL200,words,1,
11.24.46.594729,PL200,words,1,
11.24.46.641708,PL200,words,1,
11.24.46.672962,PL200,words,1,
11.24.46.719842,PL200,words,1,
11.24.46.751089,PL200,words,1,
11.24.46.782331,PL200,words,1,
11.24.46.829241,PL200,words,1,
11.24.46.860245,PL200,words,1,
11.24.46.891492,PL200,words,1,
11.24.46.938636,PL200,words,1,
11.24.46.969864,PL200,words,1,
11.24.47.016748,PL200,words,1,
11.24.47.048002,PL200,words,1,
11.24.47.089298,PL200,words,1,
11.24.47.124962,PL200,words,1,
11.24.47.163019,PL200,words,1,
11.24.47.203352,PL200,words,1,
11.24.47.234607,PL200,words,1,
11.24.47.265858,PL200,words,1,
11.24.47.305307,PL200,words,1,
11.24.47.345604,PL200,words,1,
11.24.47.376604,PL200,words,1,
11.24.47.423726,PL200,words,1,
11.24.47.454980,PL200,words,1,
11.24.47.501840,PL200,words,1,
11.24.47.533100,PL200,words,1,
11.24.47.564383,PL200,words,1,
11.24.47.611158,PL200,words,1,
11.24.47.642479,PL200,words,1,
11.24.47.673732,PL200,words,1,
11.24.47.720614,PL200,words,1,
11.24.47.751876,PL200,words,1,
11.24.47.798750,PL200,words,1,
11.24.47.830030,PL200,words,1,
11.24.47.861190,PL200,words,1,
11.24.47.907889,PL200,words,1,
11.24.47.939141,PL200,words,1,
11.24.47.970433,PL200,words,1,
11.24.48.017275,PL200,words,1,
11.24.48.048528,PL200,words,1,
11.24.48.095408,PL200,words,1,
11.24.48.126676,PL200,words,1,
11.24.48.158157,PL200,words,1,
11.24.48.204795,PL200,words,1,
11.24.48.236059,PL200,words,1,
11.24.48.267301,PL200,words,1,
11.24.48.314182,PL200,words,1,
11.24.48.345469,PL200,words,1,
11.24.48.392354,PL200,words,1,
11.24.48.423797,PL200,words,1,
11.24.48.455096,PL200,words,1,
11.24.48.501957,PL200,words,1,
11.24.48.533231,PL200,words,1,
11.24.48.580082,PL200,words,1,
11.24.48.611250,PL200,words,1,
11.24.48.642605,PL200,words,1,
11.24.48.689461,PL200,words,1,
11.24.48.720720,PL200,words,1,
11.24.48.752008,PL200,words,1,
11.24.48.798865,PL200,words,1,
11.24.48.830136,PL200,words,1,
11.24.48.876765,PL200,words,1,
11.24.48.907995,PL200,words,1,
11.24.48.939512,PL200,words,1,
